Position X, Position Y,Position Z,Location
49.0,19.0,1.5,11
8.0,23.0,4.4,3
23.0,18.0,4.4,5
19.0,22.0,4.4,10
31.0,22.0,4.4,6
33.0,10.0,7.6,15
18.0,26.0,4.4,10
30.0,21.0,7.6,15
43.0,28.0,4.4,20
36.0,13.0,7.6,15
3.0,8.0,1.5,2
9.0,14.0,7.6,8
11.0,7.0,1.5,2
45.0,11.0,1.5,11
6.0,9.0,4.4,0
1.0,27.0,4.4,3
20.0,19.0,1.5,17
39.0,16.0,7.6,15
18.0,22.0,4.4,10
45.0,17.0,1.5,11
22.0,7.0,7.6,1
11.0,9.0,7.6,1
9.0,17.0,7.6,8
18.0,25.0,4.4,10
29.0,18.0,4.4,18
35.0,15.0,1.5,11
17.0,24.0,4.4,10
39.0,17.0,1.5,11
14.0,8.0,4.4,0
38.0,13.0,4.4,18
24.0,21.0,7.6,19
4.0,19.0,1.5,17
9.0,18.0,1.5,9
47.0,15.0,1.5,11
4.0,22.0,4.4,3
15.0,25.0,4.4,10
37.0,11.0,4.4,18
24.0,9.0,1.5,2
50.0,8.0,1.5,11
37.0,9.0,1.5,11
44.0,25.0,4.4,20
22.0,8.0,4.4,0
46.0,24.0,4.4,20
25.0,20.0,7.6,19
16.0,25.0,4.4,10
26.0,20.0,4.4,4
29.0,8.0,1.5,2
24.0,22.0,4.4,10
45.0,24.0,4.4,20
9.0,16.0,1.5,9
11.0,24.0,4.4,10
40.0,17.0,4.4,18
4.0,12.0,4.4,13
26.0,19.0,1.5,17
10.0,24.0,4.4,10
15.0,9.0,1.5,2
44.0,8.0,1.5,11
28.0,7.0,7.6,1
3.0,12.0,7.6,14
47.0,11.0,1.5,11
47.0,9.0,1.5,11
6.0,7.0,4.4,0
15.0,24.0,4.4,10
35.0,17.0,7.6,15
8.0,7.0,1.5,2
9.0,8.0,1.5,2
46.0,17.0,1.5,11
12.0,8.0,7.6,1
35.0,19.0,4.4,18
35.0,14.0,1.5,11
12.0,9.0,4.4,0
42.0,11.0,1.5,11
6.0,22.0,4.4,3
36.0,10.0,4.4,18
21.0,28.0,4.4,10
28.0,7.0,1.5,2
31.0,19.0,1.5,17
37.0,16.0,7.6,15
39.0,14.0,1.5,11
42.0,14.0,1.5,11
34.0,8.0,1.5,2
25.0,7.0,7.6,1
2.0,19.0,7.6,19
36.0,10.0,7.6,15
39.0,18.0,7.6,15
35.0,7.0,7.6,15
7.0,19.0,1.5,17
27.0,22.0,4.4,12
2.0,15.0,7.6,14
14.0,19.0,4.4,4
17.0,19.0,1.5,17
2.0,2.0,4.4,16
10.0,28.0,4.4,10
30.0,9.0,1.5,2
47.0,17.0,1.5,11
15.0,7.0,7.6,1
4.0,8.0,1.5,2
42.0,16.0,4.4,18
5.0,19.0,7.6,19
15.0,8.0,1.5,2
35.0,14.0,4.4,18
6.0,7.0,1.5,2
41.0,18.0,1.5,11
37.0,20.0,7.6,15
16.0,19.0,4.4,4
16.0,9.0,4.4,0
9.0,20.0,7.6,19
36.0,9.0,4.4,18
45.0,15.0,1.5,11
27.0,7.0,7.6,1
18.0,7.0,7.6,1
7.0,17.0,7.6,14
8.0,13.0,1.5,9
27.0,17.0,4.4,5
48.0,20.0,1.5,11
33.0,18.0,7.6,15
38.0,16.0,4.4,18
2.0,23.0,4.4,3
42.0,16.0,1.5,11
50.0,19.0,1.5,11
33.0,24.0,4.4,6
2.0,8.0,4.4,0
36.0,28.0,4.4,6
41.0,17.0,1.5,11
10.0,9.0,7.6,1
6.0,13.0,7.6,14
42.0,22.0,4.4,20
9.0,12.0,7.6,8
1.0,3.0,4.4,16
8.0,17.0,4.4,7
27.0,8.0,4.4,0
7.0,8.0,7.6,1
35.0,14.0,7.6,15
8.0,18.0,4.4,7
37.0,18.0,4.4,18
8.0,19.0,1.5,17
33.0,8.0,1.5,2
38.0,17.0,4.4,18
3.0,8.0,4.4,0
40.0,15.0,4.4,18
34.0,16.0,7.6,15
41.0,14.0,4.4,18
8.0,16.0,7.6,8
17.0,20.0,1.5,17
21.0,21.0,7.6,19
26.0,15.0,4.4,5
21.0,20.0,4.4,4
36.0,27.0,4.4,6
39.0,24.0,4.4,20
8.0,13.0,4.4,7
39.0,7.0,7.6,15
7.0,20.0,1.5,17
39.0,9.0,1.5,11
38.0,26.0,4.4,6
4.0,7.0,1.5,2
21.0,19.0,1.5,17
25.0,19.0,7.6,19
